Particle_Size,Time,Penetration_Depth
20,0.0,0.005050505050505051
20,0.2,0.010101010101010102
20,0.4,0.015151515151515152
20,0.6000000000000001,0.020202020202020204
20,0.8,0.020202020202020204
20,1.0,0.025252525252525256
20,1.2000000000000002,0.025252525252525256
20,1.4000000000000001,0.025252525252525256
20,1.6,0.030303030303030304
20,1.8,0.030303030303030304
20,2.0,0.03535353535353536
20,2.2,0.03535353535353536
20,2.4000000000000004,0.04040404040404041
20,2.6,0.04040404040404041
20,2.8000000000000003,0.04040404040404041
20,3.0,0.045454545454545456
20,3.2,0.045454545454545456
20,3.4000000000000004,0.045454545454545456
20,3.6,0.05050505050505051
20,3.8000000000000003,0.05050505050505051
20,4.0,0.05050505050505051
20,4.2,0.05555555555555556
20,4.4,0.05555555555555556
20,4.6000000000000005,0.05555555555555556
20,4.800000000000001,0.05555555555555556
20,5.0,0.06060606060606061
20,5.2,0.06060606060606061
20,5.4,0.06060606060606061
20,5.6000000000000005,0.06565656565656566
20,5.800000000000001,0.06565656565656566
20,6.0,0.06565656565656566
20,6.2,0.07070707070707072
20,6.4,0.07070707070707072
20,6.6000000000000005,0.07070707070707072
20,6.800000000000001,0.07070707070707072
20,7.0,0.07575757575757576
20,7.2,0.07575757575757576
20,7.4,0.07575757575757576
20,7.6000000000000005,0.07575757575757576
20,7.800000000000001,0.08080808080808081
20,8.0,0.08080808080808081
20,8.200000000000001,0.08080808080808081
20,8.4,0.08080808080808081
20,8.6,0.08585858585858587
20,8.8,0.08585858585858587
20,9.0,0.08585858585858587
20,9.200000000000001,0.08585858585858587
20,9.4,0.09090909090909091
20,9.600000000000001,0.09090909090909091
20,9.8,0.09090909090909091
20,10.0,0.09090909090909091
20,10.200000000000001,0.09595959595959597
20,10.4,0.09595959595959597
20,10.600000000000001,0.09595959595959597
20,10.8,0.09595959595959597
20,11.0,0.10101010101010102
20,11.200000000000001,0.10101010101010102
20,11.4,0.10101010101010102
20,11.600000000000001,0.10101010101010102
20,11.8,0.10606060606060606
20,12.0,0.10606060606060606
20,12.200000000000001,0.10606060606060606
20,12.4,0.10606060606060606
20,12.600000000000001,0.11111111111111112
20,12.8,0.11111111111111112
