ParticleSize,Pressure,HydraulicConductivity,UptakeRate,DrugReleaseRate,Diffusion,PenetrationDepth,MaxConcentration,DrugCoverage,DeliveryTime
101.63875039167611,22.04343925295474,1.1890062484114623e-06,0.055756391007309766,0.05475338395423873,4.4680140710907555e-06,0.2878787878787879,0.9418180038872289,57.99999999999999,30.0
41.94703616829084,23.91656057426676,9.292243564551326e-07,0.07545690562798663,0.08557353651038088,1.082611331814134e-05,0.22222222222222224,0.9150094144085505,45.0,34.0
168.22214891013155,20.667364142963347,8.652785275733025e-07,0.0834801705437508,0.07797416728677277,2.6995456297535103e-06,0.17171717171717174,0.8841143498211103,35.0,56.0
73.96104479055117,22.0328134782189,1.078832831521484e-06,0.07967027572022914,0.0705380875067461,6.140034503353934e-06,0.21717171717171718,0.9142294685977828,44.0,36.0
151.18432781598537,20.606147371732096,1.019820686466897e-06,0.044922428866946876,0.03415338435026476,3.003772768503016e-06,0.27272727272727276,0.9265098171710691,55.00000000000001,40.0
142.70949050722538,24.22412646663117,1.1725547414225573e-06,0.05709300651489009,0.05189534318994473,3.1821525345232565e-06,0.297979797979798,0.9440124632799862,60.0,30.0
135.5866122018444,22.85745228826253,8.227330189111854e-07,0.05250510783192115,0.09362418304564649,3.349323060318432e-06,0.24242424242424243,0.9270093092935068,49.0,40.0
165.68180490987126,17.598762652330137,1.16248544574239e-06,0.050001759287691364,0.09125368349571922,2.740936864884633e-06,0.26262626262626265,0.9352248827149572,53.0,38.0
76.32505967105047,22.249212588608973,9.955427561516182e-07,0.08161429587494232,0.03423898601796901,5.9498593106286894e-06,0.20202020202020204,0.8915037795030578,41.0,44.0
41.46204039585769,15.958214491628285,1.041794922627074e-06,0.08783371462826857,0.07745878429910202,1.095275009580714e-05,0.16161616161616163,0.8781055872147334,33.0,58.0
99.33715859386142,20.61897750219285,1.080843076427618e-06,0.06177791612521204,0.011540961227648094,4.571535700701556e-06,0.22222222222222224,0.6922730039112336,45.0,48.0
164.72330359468194,24.909915087852013,1.0561642890682083e-06,0.04604649165728551,0.08135154251715628,2.7568859839983875e-06,0.31818181818181823,0.9525140765573651,64.0,30.0
87.2568452065502,22.985989559941494,1.0493084814832452e-06,0.09239885722991116,0.029280668342476134,5.204444027779263e-06,0.19191919191919193,0.875532586347041,39.0,44.0
94.9908149598872,21.45181707465957,8.436937332959761e-07,0.08293098530784244,0.04305096366478374,4.7807081885744165e-06,0.17171717171717174,0.8820539770970941,35.0,58.0
193.7917854846595,19.805633060535957,9.676748940673263e-07,0.09792503318202932,0.07339472499003766,2.34335715408349e-06,0.15656565656565657,0.8742262814934103,32.0,64.0
107.03747704708194,16.035299107068887,8.420335556134374e-07,0.07443374993125018,0.09033859968584276,4.242657613448207e-06,0.15151515151515152,0.868978172748318,31.0,88.0
132.00040339308674,15.996129648938666,1.1646422779486987e-06,0.08749204015848323,0.07584080224100218,3.440318023618052e-06,0.16666666666666669,0.8839127979935965,34.0,54.0
94.21313465243847,21.15502514904194,8.729669039122851e-07,0.06074961738826409,0.07425942928225256,4.820170442193604e-06,0.22222222222222224,0.9157427831093599,45.0,44.0
87.1738893538206,19.536225520237355,8.432586071331146e-07,0.09440906504944027,0.061248910810981855,5.209396647141647e-06,0.14646464646464646,0.8641129834557095,30.0,120.0
27.77766584117962,23.56798273704235,1.0548237524116892e-06,0.08658148526460034,0.08742725687796933,1.63485070889169e-05,0.22222222222222224,0.9142636821865655,45.0,30.0
137.78710045302157,18.412383741582754,8.818034781099202e-07,0.0644213960855354,0.06536763682297451,3.295833684176575e-06,0.19191919191919193,0.8997128769971509,39.0,54.0
147.7628188247156,16.938577509503393,1.1522772413097732e-06,0.06425932259335973,0.09611833597364602,3.0733263653882787e-06,0.22222222222222224,0.9150801803657161,45.0,42.0
127.40758120745711,16.445691777478142,8.577882070003235e-07,0.06513682136617586,0.024436387224400738,3.564335517669417e-06,0.16161616161616163,0.83726109484551,33.0,84.0
61.85315183701273,15.468966480668236,8.378211569691615e-07,0.08122422148268381,0.07840991015250788,7.341960004152026e-06,0.14141414141414144,0.8586195611093193,28.999999999999996,120.0
73.0427260624721,22.498572889509003,8.346344974014704e-07,0.08442546229316797,0.06045813966998392,6.217229167072523e-06,0.1767676767676768,0.8893314799105819,36.0,50.0
86.9438872881295,24.711144178930162,1.1519449431661462e-06,0.04284926453579257,0.0642992131101363,5.223177627348755e-06,0.3383838383838384,0.9585917420831239,68.0,26.0
77.74218406253654,24.210236951253556,1.1357786433753522e-06,0.032011667062511635,0.03272272669362787,5.841402224470422e-06,0.3535353535353536,0.9482847036644394,71.0,28.0
133.13894790782348,20.409918483683413,1.1537210272621169e-06,0.09094988683982855,0.08054013395238797,3.4108979682826897e-06,0.196969696969697,0.9018512114758634,40.0,38.0
182.77371571471346,22.69056469529186,9.93547494683819e-07,0.02887072548172373,0.03038097000657104,2.4846207516343255e-06,0.31818181818181823,0.9386599199382095,64.0,36.0
92.2970898863271,17.17779458097769,9.095159343228679e-07,0.045490368650643424,0.08479804462134416,4.920234944323675e-06,0.2373737373737374,0.9248995217702385,48.0,46.0
149.4583499558524,22.52479846883962,1.0304227622518099e-06,0.05150064486525417,0.07936160505199251,3.0384609963393186e-06,0.2828282828282829,0.9407241503884437,56.99999999999999,34.0
158.57047312690747,22.825893011582487,8.146059342344031e-07,0.022382705172244808,0.061749503322159824,2.8638583083159807e-06,0.3080808080808081,0.96625022235665,62.0,38.0
108.95295869497899,18.238895125284404,1.0551503946701351e-06,0.04437810190048182,0.06828313239562649,4.168068241170378e-06,0.2676767676767677,0.9386767229697596,54.0,40.0
35.70784189419501,18.382573431017786,9.132159042011183e-07,0.03620440846530874,0.020837594816636548,1.2717748898510616e-05,0.26262626262626265,0.8643525935078423,53.0,44.0
77.03584265631883,22.4808089797216,8.772358228226409e-07,0.038823920489901034,0.06062796405459972,5.894962023639791e-06,0.2878787878787879,0.9468382100307037,57.99999999999999,38.0
84.7923010366756,17.491094313714257,8.125743331184548e-07,0.0661034912559044,0.0649179830839539,5.35571462698796e-06,0.17171717171717174,0.886886769072332,35.0,64.0
153.39014985870654,16.39149098438383,1.1114213872912813e-06,0.0858806911198605,0.04238729411328519,2.9605771122617718e-06,0.16666666666666669,0.8775715350366269,34.0,64.0
195.25800092631408,20.96786992639168,1.1683449650788336e-06,0.07411453031532578,0.08287625357236889,2.325760607830179e-06,0.23232323232323235,0.9209172846506711,47.0,34.0
175.1536891741942,23.378657423095184,8.723341874543194e-07,0.04987953427260001,0.03764803618087683,2.5927136851023116e-06,0.2575757575757576,0.9244444796409788,52.0,42.0
52.71212543288725,18.813339211509327,9.154763573177761e-07,0.09686122402546937,0.06975287547721382,8.615159475902313e-06,0.15151515151515152,0.869386700578684,31.0,76.0
179.2953020277301,17.533601653085135,9.65523527167161e-07,0.09374141733313897,0.08597492957396925,2.532823569732209e-06,0.14646464646464646,0.8658363541097489,30.0,120.0
196.0177732520002,23.760649312211555,1.0458370824100523e-06,0.03149547942821878,0.041687522529996225,2.3167458714790596e-06,0.33333333333333337,0.958336913370671,67.0,32.0
27.423840725318364,15.280179841816944,9.412572283231771e-07,0.0847006381313385,0.02655908221208238,1.6559437150567754e-05,0.15151515151515152,0.8360213223842099,31.0,96.0
69.75903131361447,22.274942307128025,1.022429046170038e-06,0.09208170951992331,0.008221171496749172,6.509886366920654e-06,0.16666666666666669,0.5609821021149913,34.0,80.0
69.14840879569469,21.3953468186157,1.04622367077609e-06,0.04522242870422499,0.09997408343661543,6.567372624001211e-06,0.297979797979798,0.9462507718123275,60.0,32.0
32.6986042692608,20.247382290558228,9.289313531267326e-07,0.03252312570577668,0.06823327594918446,1.38881575243565e-05,0.3080808080808081,0.9541792845428869,62.0,34.0
48.6045132119319,21.79600843505413,9.249652449858502e-07,0.054849825329277374,0.005729869327569505,9.343234545688388e-06,0.20202020202020204,0.4591330274856695,41.0,60.0
100.60496670018064,17.909834460937567,1.0690343758288562e-06,0.08041768862598271,0.09555679173362595,4.513925920491105e-06,0.18686868686868688,0.895308771242578,38.0,46.0
151.85781223744868,20.944792218206427,9.107685178125842e-07,0.04624527469785912,0.04330707475907952,2.9904511346970496e-06,0.2575757575757576,0.9303173570205222,52.0,42.0
145.85124475078126,22.95616088421582,9.030809251164672e-07,0.07924768121574041,0.06268527733504241,3.1136063850127503e-06,0.196969696969697,0.9023344654984602,40.0,44.0
38.40252610990058,19.45840485112617,9.152556583306375e-07,0.044743021747584655,0.0304928734052526,1.1825351426582641e-05,0.25252525252525254,0.9106024005408418,51.0,42.0
45.757826123386835,17.74460410701501,1.073483703588627e-06,0.040566357420422465,0.031817646478041084,9.924496100263543e-06,0.27272727272727276,0.9225865267203484,55.00000000000001,40.0
136.0320845867098,24.201669864852796,9.286436820289813e-07,0.07103665737653553,0.04771191219534637,3.338354832227994e-06,0.22222222222222224,0.9149393220673616,45.0,40.0
84.6001945618168,21.00681218969202,1.0334652901351649e-06,0.09999120075705406,0.08154094375090289,5.367876152888336e-06,0.17171717171717174,0.8866684334065702,35.0,46.0
80.16193221557184,23.57928912884823,1.1656939497399516e-06,0.07267876999496298,0.02791936392376576,5.665075109427992e-06,0.2474747474747475,0.8971842832297892,50.0,34.0
66.21823477882879,22.492209608600454,9.85331609052563e-07,0.09818095200440118,0.09096584999566848,6.857980561319367e-06,0.18181818181818182,0.8911469217738066,37.0,42.0
78.44968998936923,22.61731906276575,1.0829574305252934e-06,0.07171433237517469,0.03543879323627089,5.788720987675394e-06,0.2373737373737374,0.9104694543477413,48.0,36.0
88.67149786987946,23.304292817905452,9.217624327091582e-07,0.06529342834676437,0.010328896351642046,5.1214130563632845e-06,0.2070707070707071,0.6514051307714083,42.0,54.0
160.9428356764934,21.170933696509856,8.594572030975169e-07,0.0743924485225463,0.034057009885331634,2.8216438775250012e-06,0.18181818181818182,0.8811477807400989,37.0,58.0
118.07383088961241,20.343051707803937,1.1981706568075147e-06,0.08180727790165553,0.03253710865598135,3.846096662542026e-06,0.21212121212121213,0.8945484451387442,43.0,40.0
97.52360062492947,21.732051883729397,1.1129386407482104e-06,0.05409415444798549,0.009808124425055579,4.6565484047766446e-06,0.2474747474747475,0.6475635301585178,50.0,42.0
175.57780582304113,16.63442771908476,9.090896901823859e-07,0.09571303136628566,0.016930211429485118,2.5864508602857544e-06,0.12626262626262627,0.735876029015816,26.0,120.0
170.94664961016736,19.119839148870525,8.936256876417033e-07,0.04778152290970551,0.05590494544501572,2.6565210137413548e-06,0.2373737373737374,0.925556960798339,48.0,48.0
184.8581436175293,24.2440051040026,9.254530501541119e-07,0.08557738084003266,0.030066531901868615,2.456604605192126e-06,0.19191919191919193,0.8773525048382917,39.0,48.0
71.61434033950775,23.443038948301904,1.1149225290647601e-06,0.08715920496839391,0.0691613207176824,6.341235076175964e-06,0.21717171717171718,0.9144732597387171,44.0,32.0
193.3738421701897,19.630434363543362,1.086654201037689e-06,0.075189872942532,0.07255964306347873,2.348421905577139e-06,0.2070707070707071,0.9091655355811276,42.0,42.0
41.30258974360395,18.15045328958928,8.865924578556881e-07,0.04949632616622279,0.07004042879091082,1.0995033719124468e-05,0.2373737373737374,0.9230113337435476,48.0,42.0
54.69467775876424,20.665760992874,8.366759178558966e-07,0.03873641956428012,0.0978343673493747,8.302880381177882e-06,0.27272727272727276,0.9414796413005063,55.00000000000001,38.0
108.43358721199351,24.648010664324676,9.669329965043485e-07,0.08791667184727876,0.08762442924767638,4.18803231170665e-06,0.20202020202020204,0.9060923512335914,41.0,36.0
54.83512317046004,22.343371170830313,1.189617758722347e-06,0.03397408945559175,0.04805806697736322,8.281614787412906e-06,0.3484848484848485,0.9619536734690295,70.0,28.0
113.66580016571017,15.29360674948483,1.1502609711956295e-06,0.03077543386559742,0.09299117277187313,3.995250693313524e-06,0.2878787878787879,0.9528603892585005,57.99999999999999,40.0
