Model,CV_R2_mean,CV_R2_std
Random Forest,0.9556511800777905,0.005197179912425334
Decision Tree,0.8868976745952357,0.01206378792543415
Neural Network,0.9242921973417643,0.007600620978501099
XGBoost,0.9601898550987243,0.005329569299038376
