Parameter,Sensitivity_PenetrationDepth,Sensitivity_MaxConcentration,Sensitivity_DrugCoverage,AvgSensitivity
HydraulicConductivity,0.7065217391304347,0.07726468965355444,0.6914893617021276,0.49175859682870565
Pressure,0.7065217391304347,0.07726468965355414,0.6914893617021276,0.4917585968287055
UptakeRate,0.5978260869565216,0.07626952862364884,0.5851063829787234,0.41973399951963125
DrugReleaseRate,0.0,0.019714675667876845,0.0,0.006571558555958948
ParticleSize,0.0,0.0015243955610846562,0.0,0.0005081318536948854
