ParticleSize,Pressure,HydraulicConductivity,UptakeRate,DrugReleaseRate,PredictedPenetration,PredictedMaxConc,PredictedCoverage,DeliveryTime
20.0,17.5,1.2e-06,0.04,0.1,0.29665074,0.94957,59.875866,31.093103
20.0,17.5,8e-07,0.06,0.005,0.16833779,0.43491364,34.3192,87.64025
20.0,17.5,8e-07,0.06,0.0525,0.19656008,0.91179883,39.955048,50.20387
20.0,17.5,8e-07,0.06,0.1,0.19753169,0.91221714,40.100273,47.802
20.0,17.5,1e-06,0.06,0.005,0.19042268,0.43821827,38.661503,65.86181
20.0,17.5,1e-06,0.06,0.0525,0.2217354,0.9280421,44.734283,42.66997
20.0,17.5,1e-06,0.06,0.1,0.2213645,0.9279636,44.763744,36.900692
20.0,17.5,1.2e-06,0.06,0.005,0.20268519,0.43872204,41.02479,60.373047
20.0,17.5,1.2e-06,0.06,0.0525,0.22841147,0.930005,46.12053,38.04809
20.0,17.5,1.2e-06,0.06,0.1,0.23113003,0.93193144,46.71245,33.061375
20.0,17.5,8e-07,0.08,0.005,0.14820501,0.42046106,30.425426,111.79787
20.0,17.5,8e-07,0.08,0.0525,0.1666309,0.8820491,34.029076,67.213234
20.0,17.5,8e-07,0.08,0.1,0.16720116,0.8835252,33.88811,54.675446
20.0,17.5,1e-06,0.08,0.005,0.16731909,0.42350376,34.23419,102.73555
20.0,17.5,1e-06,0.08,0.0525,0.1882114,0.8937847,38.24303,48.881813
20.0,17.5,1e-06,0.08,0.1,0.1876905,0.8949655,37.927174,46.32438
20.0,17.5,1.2e-06,0.08,0.005,0.18526104,0.42307457,37.575764,72.69836
20.0,17.5,1.2e-06,0.08,0.0525,0.20718665,0.90402013,41.942085,41.683792
20.0,17.5,1.2e-06,0.08,0.1,0.20575637,0.9079698,41.498394,37.924377
20.0,17.5,8e-07,0.1,0.005,0.13035846,0.42056563,26.727793,82.39442
20.0,17.5,8e-07,0.1,0.0525,0.1439461,0.8602348,29.16494,74.58284
20.0,17.5,8e-07,0.1,0.1,0.15094669,0.8609959,30.445265,57.8177
20.0,17.5,1e-06,0.1,0.005,0.13616377,0.42360833,27.893074,88.29208
20.0,17.5,1e-06,0.1,0.0525,0.15448521,0.8736122,31.271904,73.825745
20.0,17.5,1e-06,0.1,0.1,0.16359973,0.87417156,32.97608,58.47129
20.0,17.5,1.2e-06,0.1,0.005,0.15339743,0.4236596,31.239801,97.41504
20.0,17.5,1.2e-06,0.1,0.0525,0.17506179,0.8815154,35.38371,56.28218
20.0,17.5,1.2e-06,0.1,0.1,0.17611803,0.8836819,35.582424,48.533066
20.0,20.0,8e-07,0.02,0.005,0.27870893,0.4609007,55.978592,64.71036
20.0,20.0,8e-07,0.02,0.0525,0.3171475,0.9685088,63.936806,36.057453
20.0,20.0,8e-07,0.02,0.1,0.3181109,0.9714083,63.952835,33.82046
20.0,20.0,1e-06,0.02,0.005,0.2988819,0.46487615,59.825237,50.13552
20.0,20.0,1e-06,0.02,0.0525,0.35425287,0.97261083,70.96704,29.43703
20.0,20.0,1e-06,0.02,0.1,0.35448498,0.9752346,70.95251,26.974329
20.0,20.0,1.2e-06,0.02,0.005,0.31101176,0.46670875,62.436447,45.892395
20.0,20.0,1.2e-06,0.02,0.0525,0.36948624,0.97276753,74.01842,27.97177
20.0,20.0,1.2e-06,0.02,0.1,0.36726004,0.9755379,73.650635,26.041216
20.0,20.0,8e-07,0.04,0.005,0.23207203,0.44179,46.773773,66.31722
20.0,20.0,8e-07,0.04,0.0525,0.259962,0.9390925,52.554398,38.241898
